,Height,2013/05/15 17:20:38,2013/05/15 17:21:38,2013/05/15 17:22:37,2013/05/15 17:23:37,2013/05/15 17:24:38,2013/05/15 17:25:38,2013/05/15 17:26:38,2013/05/15 17:27:38,2013/05/15 17:28:37,2013/05/15 17:29:37,2013/05/15 17:30:37,2013/05/15 17:31:38,2013/05/15 17:32:38,2013/05/15 17:33:38,2013/05/15 17:34:37,2013/05/15 17:35:37,2013/05/15 17:36:37,2013/05/15 17:56:38,2013/05/15 17:57:38,2013/05/15 17:58:38,2013/05/15 17:59:38,2013/05/15 18:00:38,2013/05/15 18:01:38,2013/05/15 18:02:38,2013/05/15 18:03:38,2013/05/15 18:04:38,2013/05/15 18:05:38,2013/05/15 18:06:38,2013/05/15 18:07:38,2013/05/15 18:08:38,2013/05/15 18:09:38,2013/05/15 18:10:38,2013/05/15 18:11:38,2013/05/15 18:12:38,2013/05/15 18:13:38,2013/05/15 18:14:38,2013/05/15 18:15:38,2013/05/15 18:16:38,2013/05/15 18:17:38,2013/05/15 18:18:38,2013/05/15 18:19:38,2013/05/15 18:20:38,2013/05/15 18:21:38,2013/05/15 19:10:38,2013/05/15 19:11:37,2013/05/15 19:12:38,2013/05/15 19:13:38,2013/05/15 19:14:38,2013/05/15 19:15:38,2013/05/15 19:16:37,2013/05/15 19:17:38,2013/05/15 19:18:38,2013/05/15 19:19:38,2013/05/15 19:20:38,2013/05/15 19:21:37,2013/05/15 19:22:38,2013/05/15 19:23:38,2013/05/15 19:24:38,2013/05/15 19:25:38,2013/05/15 19:26:38,2013/05/15 19:27:38,2013/05/15 19:28:38,2013/05/15 19:29:38,2013/05/15 19:30:38,2013/05/15 19:31:37,2013/05/15 19:32:37,2013/05/15 19:33:37,2013/05/15 19:34:37,2013/05/15 19:35:38
0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039913,0.00044233,0.00039913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00100858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034048,0.00034048,0.00034048,0.00034048,0.00034048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034048,0.00063788,0.0,0.0,4.532e-05,4.532e-05,4.532e-05,4.532e-05
2,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034048,0.00034048,0.00034048,0.00065224,0.0001469,0.0001469,0.0001469,4.532e-05,4.532e-05,4.532e-05,4.532e-05,4.532e-05,4.532e-05,0.0,0.00049636,0.00049636,0.00041842,0.00049636,0.00023382,4.532e-05,4.532e-05,4.532e-05,4.532e-05,4.532e-05,4.532e-05,0.0
3,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00049636,0.0,0.0,4.532e-05,4.532e-05,4.532e-05,4.532e-05,4.532e-05,4.532e-05,4.532e-05,4.532e-05,4.532e-05,4.532e-05,4.532e-05,0.0,0.0,0.0,4.532e-05,4.532e-05,4.532e-05,4.532e-05,4.532e-05,0.0,0.0,0.0,0.0
4,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.532e-05,4.532e-05,4.532e-05,4.532e-05,4.532e-05,4.532e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.532e-05,4.532e-05,4.532e-05,4.532e-05,4.532e-05,0.0,0.0,0.0,0.0,0.0,0.0
5,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1750.0,0.0040862299999999,0.0054180399999999,0.0057110499999999,0.00223385,0.00221602,0.00255832,0.0049393899999999,0.0056036399999999,0.0042339399999999,0.0049167799999999,0.00309284,0.00312808,0.00312056,0.0036963799999999,0.0036404699999999,0.0034992199999999,0.0034177699999999,0.0034998899999999,0.00300583,0.00281088,0.00244986,0.00169134,0.00195721,0.00241658,0.00317821,0.00288168,0.0034253599999999,0.00304088,0.00205906,0.00189176,0.00151029,0.00170584,0.00184752,0.00249803,0.00173162,0.00252018,0.00222287,0.00173075,0.00179397,0.00160295,0.00177255,0.00206497,0.0032986,0.00162562,0.00188645,0.00311475,0.00332545,0.00238559,0.00266855,0.00230704,0.00154522,0.00140134,0.00156378,0.00157326,0.00163641,0.00207886,0.00226892,0.00233576,0.00267608,0.00274103,0.0022135,0.00192965,0.00159115,0.00176343,0.0036441799999999,0.0048901299999999,0.0045482399999999,0.0039857199999999,0.00179321
8,2000.0,0.02018589,0.02009535,0.01975351,0.01783884,0.01834139,0.01782082,0.01816503,0.02002466,0.01999665,0.01822153,0.0182425599999999,0.01982215,0.02035298,0.01935173,0.01933347,0.01911613,0.01911746,0.01778654,0.0185638,0.0190898599999999,0.01957306,0.01794775,0.01793335,0.01809988,0.01835255,0.01839415,0.01910622,0.0195957,0.01833919,0.02026716,0.02033724,0.01989962,0.01934104,0.01915999,0.01905372,0.01825503,0.01828738,0.01841378,0.01810085,0.01766804,0.01999669,0.01947212,0.01872423,0.01796648,0.0186953,0.01835701,0.01831802,0.01818147,0.01810402,0.01844462,0.01786186,0.01741442,0.0175627,0.0172985,0.01660998,0.01633748,0.01675754,0.01808044,0.01817701,0.01808758,0.01853618,0.01739779,0.01789882,0.01874758,0.01863645,0.0190729,0.01776698,0.01714568,0.01622891
9,2250.0,0.0225286,0.02131457,0.02124086,0.02021433,0.02073165,0.02010216,0.02069543,0.02067166,0.01961056,0.01908121,0.01905894,0.01944511,0.01949745,0.02047694,0.02024018,0.02030255,0.02053237,0.01913362,0.01935362,0.02062265,0.02086789,0.02110332,0.0215860399999999,0.02562578,0.02346418,0.02329168,0.02330765,0.0218764399999999,0.01979363,0.0220901399999999,0.0221515599999999,0.0212810499999999,0.0227112199999999,0.01967408,0.02144004,0.0214319499999999,0.01921273,0.01992127,0.01959802,0.02001761,0.01919192,0.02085316,0.02081272,0.01809922,0.01828425,0.01793651,0.01954592,0.0194865,0.0179897199999999,0.01736521,0.01758322,0.01757968,0.01786934,0.01893223,0.01752796,0.01756135,0.0180319899999999,0.01877823,0.01858091,0.01830888,0.0185870099999999,0.01882323,0.01825918,0.01818518,0.01760417,0.01800367,0.01777718,0.0176859,0.01808184
10,2500.0,0.02956778,0.0294184,0.02871536,0.02993952,0.03041174,0.02132016,0.0217873899999999,0.02204184,0.0213339399999999,0.0226521299999999,0.0224288199999999,0.0208888599999999,0.02137467,0.0143724399999999,0.02749727,0.02656259,0.02336917,0.02188988,0.02330084,0.02129632,0.02145348,0.02179009,0.02227828,0.02226432,0.0215976,0.02148061,0.02146017,0.02343175,0.02421479,0.02522592,0.02519527,0.02397038,0.02552883,0.02400127,0.02426926,0.02373271,0.02264871,0.0243159,0.02558624,0.02521532,0.02607304,0.02640751,0.02499304,0.0243205999999999,0.02136524,0.02591815,0.02407453,0.02258766,0.01987807,0.02088217,0.02101359,0.02018122,0.02453078,0.0267528,0.0245603699999999,0.02444724,0.02320909,0.01983872,0.02075578,0.02115052,0.02053346,0.01949199,0.02356328,0.01990672,0.02152334,0.02266407,0.02060071,0.02163624,0.01977452
11,2750.0,0.0286695399999999,0.03074945,0.02986876,0.0287498999999999,0.02929142,0.0299234599999999,0.029414,0.02942636,0.02897907,0.0294753499999999,0.0286182399999999,0.0300759899999999,0.0294535299999999,0.02884452,0.0287048,0.03012024,0.0295444,0.02831142,0.0288878499999999,0.0301637599999999,0.03167789,0.03100331,0.03057677,0.02886506,0.02845218,0.02807539,0.0287157699999999,0.03056801,0.0307679,0.02957875,0.02826985,0.02742422,0.02716646,0.0272298,0.0275684599999999,0.0293626599999999,0.03089043,0.0293134199999999,0.0288209999999999,0.0281003299999999,0.02758374,0.02729254,0.0276286,0.0276367299999999,0.0266293399999999,0.0272392499999999,0.02755899,0.02725213,0.02706351,0.02712955,0.02723766,0.0273607799999999,0.0267519099999999,0.0308092399999999,0.0288394799999999,0.0265526299999999,0.02684908,0.02514057,0.02538797,0.02467863,0.02510572,0.02689071,0.0265563099999999,0.02642109,0.0265998799999999,0.0283329699999999,0.02726864,0.0295939399999999,0.02797805
12,3000.0,0.03651215,0.03406773,0.0348901099999999,0.0325827399999999,0.0325671399999999,0.03384856,0.03612068,0.03544023,0.0333906299999999,0.03330084,0.03346778,0.03139891,0.03129951,0.0305197899999999,0.03078234,0.0314333,0.02980058,0.03435831,0.03396403,0.03353444,0.03336354,0.0320423,0.03133152,0.03295811,0.03301683,0.03293608,0.03342481,0.0326754999999999,0.0329511699999999,0.0348002899999999,0.0349491,0.03555124,0.03889789,0.03539201,0.0325525299999999,0.0328349299999999,0.0324102399999999,0.032452,0.0345067499999999,0.03333081,0.0332319999999999,0.03261339,0.03223271,0.0283917899999999,0.03241557,0.0308454899999999,0.0304808899999999,0.0302522999999999,0.0304443499999999,0.0301841099999999,0.0306079399999999,0.0307358899999999,0.0314601299999999,0.0301157399999999,0.0301157399999999,0.0302811399999999,0.02995618,0.0310557299999999,0.0297320099999999,0.0297331499999999,0.0296406699999999,0.0296938899999999,0.0301275199999999,0.0302522999999999,0.0305326799999999,0.0301249599999999,0.0302811399999999,0.0301563599999999,0.0313541299999999
