Height,2012/10/17 21:12:38,2012/10/17 21:13:38,2012/10/17 21:14:38,2012/10/17 21:15:38,2012/10/17 21:16:38,2012/10/17 21:17:38,2012/10/17 21:18:38,2012/10/17 21:19:38,2012/10/17 21:20:38,2012/10/17 21:21:38,2012/10/17 21:22:38,2012/10/17 21:23:38,2012/10/17 21:24:38,2012/10/17 21:25:38,2012/10/17 21:26:38,2012/10/17 21:27:38,2012/10/17 21:28:38,2012/10/17 21:29:38,2012/10/17 21:30:38,2012/10/17 21:31:38,2012/10/17 21:32:38,2012/10/17 21:33:38,2012/10/17 21:34:38,2012/10/17 21:35:38,2012/10/17 21:36:38,2012/10/17 21:37:38,2012/10/17 22:24:38,2012/10/17 22:25:37,2012/10/17 22:26:37,2012/10/17 22:27:38,2012/10/17 22:28:38,2012/10/17 22:29:38,2012/10/17 22:30:38,2012/10/17 22:31:37,2012/10/17 22:32:38,2012/10/17 22:33:38,2012/10/17 22:34:38,2012/10/17 22:35:38,2012/10/17 22:36:38,2012/10/17 22:37:38,2012/10/17 22:38:38,2012/10/17 22:39:37,2012/10/17 22:40:38,2012/10/17 22:41:38,2012/10/17 22:42:38,2012/10/17 22:43:38,2012/10/17 22:44:38,2012/10/17 22:45:38,2012/10/17 22:46:38,2012/10/17 22:47:38,2012/10/17 22:48:37,2012/10/17 23:35:38,2012/10/17 23:36:38,2012/10/17 23:37:38,2012/10/17 23:38:38,2012/10/17 23:39:37,2012/10/17 23:40:38,2012/10/17 23:41:38,2012/10/17 23:42:38,2012/10/17 23:43:38,2012/10/17 23:44:37,2012/10/17 23:45:38,2012/10/17 23:46:38,2012/10/17 23:47:38,2012/10/17 23:48:37,2012/10/17 23:49:38,2012/10/17 23:50:38,2012/10/17 23:51:38,2012/10/17 23:52:38,2012/10/17 23:53:38,2012/10/17 23:54:38,2012/10/17 23:55:38,2012/10/17 23:56:38,2012/10/17 23:57:38,2012/10/17 23:58:38,2012/10/17 23:59:38
600.0,72.40843548387096,71.98413186813194,71.23775000000012,70.36475000000017,70.39425000000011,70.39175000000016,70.51074999999999,70.09025000000008,69.64075000000001,71.18475000000001,72.71975000000019,72.7368205128205,73.56047008546999,73.56022222222232,74.07305128205134,74.50275000000005,75.40075000000003,74.79274999999997,75.69100000000005,75.6277499999999,75.14949999999997,75.02200000000008,73.87050000000005,75.32027433628316,76.21660714285704,77.2271818181817,71.58498734177216,73.85101851851861,73.55167241379326,76.07417241379322,75.46383478260887,74.42386956521739,73.7617499999999,72.75174999999994,74.07524999999998,73.92650000000009,75.83544347826094,75.53359130434782,74.43461739130441,75.17585964912278,74.07965217391305,73.92383333333319,72.84243859649108,72.35246551724121,72.0494655172414,72.18294871794879,73.23835042735033,72.74089380530958,72.75475221238942,73.4245161290324,73.12024999999994,72.30232352941186,71.1706288659794,71.27838461538457,70.75167521367511,71.37735344827578,72.51610344827586,72.69817241379317,72.28917241379317,72.27411965811956,72.45481196581206,72.00425000000008,73.32499999999993,72.8420000000001,71.3517500000001,71.47674999999995,71.60200000000002,71.22450000000009,71.67200000000007,72.2965000000001,71.48400000000012,71.98801739130441,74.03762025316466,74.09598449612402,74.74500000000003,75.53600000000004
700.0,71.61849999999998,71.23847252747264,70.31825000000013,69.51075000000013,69.45250000000021,69.35449999999999,69.43774999999984,68.66774999999988,67.9799999999999,69.50825000000003,71.30174999999997,71.38051282051282,72.38212820512827,72.65081196581195,72.96163247863232,73.4359999999999,74.63599999999994,73.6252499999999,74.56975000000003,74.39375000000001,73.43675000000003,73.45574999999995,72.03899999999993,73.78121238938049,74.88466666666669,75.73920000000005,69.09687341772164,71.77860185185189,71.44559482758629,74.14534482758626,73.27669565217394,71.92857391304359,71.39100000000003,70.437,72.18125000000013,72.01850000000005,74.15144347826096,73.83521739130428,72.54459130434765,73.55716666666662,72.3073217391305,72.1274210526315,70.80563157894724,70.19482758620686,69.85757758620696,70.32942735042722,71.47182905982895,71.03546902654867,71.09475221238925,71.54065591397838,71.37692187500008,70.70414705882357,69.40388659793804,69.48501709401692,68.99523931623919,69.48246551724128,70.65521551724134,70.70202586206905,70.08277586206897,70.17810256410256,70.58509401709404,70.30449999999995,71.63825000000001,70.99649999999995,69.0874999999999,69.13549999999985,69.51349999999996,69.14624999999987,69.7409999999998,70.31049999999988,69.37675000000007,70.00896521739132,72.54645569620267,72.76956589147281,73.58027999999996,74.53900000000003
800.0,69.66862903225807,69.37109890109879,68.30899999999995,67.46925000000012,67.35700000000004,67.15749999999997,67.24899999999998,66.32625000000012,65.4820000000002,66.97824999999993,69.00724999999991,69.21662393162387,70.38529914529899,70.92043589743582,71.02280341880342,71.50100000000006,72.84525000000015,71.52549999999992,72.50349999999993,72.25699999999996,70.9975,71.11350000000004,69.432,71.35504424778765,72.56960714285704,73.2569636363637,66.092088607595,68.93728703703711,68.63130172413807,71.3188017241381,70.29838260869575,68.79240000000017,68.3182500000002,67.41200000000009,69.36525000000007,69.19925000000003,71.47500869565204,71.17290434782608,69.85302608695643,71.12503508771934,69.76305217391304,69.57934210526302,68.118149122807,67.40245689655184,67.0494568965517,67.8403247863247,68.93389743589734,68.53467256637155,68.65683185840712,68.88692473118287,68.89731250000008,68.25463235294121,66.88785567010312,67.00429059829075,66.70958119658133,67.12100862068966,68.29350862068958,68.23454310344825,67.42804310344826,67.5322735042734,68.0416324786325,67.80699999999989,69.0124999999998,68.28224999999988,66.11325000000011,66.14349999999995,66.69249999999984,66.39999999999988,67.14599999999992,67.66025000000012,66.63100000000013,67.42598260869575,70.42559493670872,70.82093798449615,71.89740000000013,72.9250000000001
900.0,68.23998387096778,68.01882417582428,66.78050000000013,65.85225000000001,65.67525000000006,65.31300000000002,65.40374999999985,64.25624999999992,63.19350000000003,64.65800000000002,67.01675000000004,67.43233333333328,68.79632478632472,69.73671794871784,69.57758974358973,70.09075000000009,71.64275000000002,69.93424999999986,71.02324999999999,70.67324999999995,69.07749999999989,69.3319999999999,67.34150000000015,69.53241592920364,70.93733333333334,71.46689090909092,64.31053164556958,67.42788888888889,67.11375862068964,69.82525862068967,68.53989565217391,66.7857739130435,66.41074999999996,65.57275000000004,67.82625000000006,67.63649999999997,70.09953913043478,69.74901739130429,68.37265217391291,70.01114035087706,68.46932173913031,68.25664912280692,66.6128070175439,65.72560344827595,65.32410344827588,66.52735042735038,67.5547435897434,67.23930088495561,67.5223716814159,67.57237634408595,67.86299999999993,67.33814705882345,65.88361855670097,66.06658974358972,66.04304273504269,66.37489655172402,67.55664655172406,67.34328448275866,66.30378448275872,66.4149743589743,67.09238461538452,66.92000000000012,67.98425000000005,67.14925000000005,64.58025000000009,64.56250000000013,65.28700000000012,65.06700000000008,65.96325000000012,66.40625000000011,65.19699999999999,66.199052173913,69.93620886075969,70.57380620155037,72.04839999999989,73.20899999999992
1000.0,66.83770967741944,66.70809890109884,65.33824999999992,64.38924999999989,64.12924999999987,63.63974999999997,63.75200000000003,62.36200000000011,61.143500000000024,62.41975000000014,64.96000000000016,65.55014529914546,67.00336752136765,68.41470085470085,67.96111111111097,68.45299999999992,70.24950000000001,68.10624999999993,69.32724999999982,68.9252499999999,67.00649999999995,67.52300000000002,65.13574999999992,67.55082300884943,69.05600000000001,69.20943636363633,62.32625316455707,65.68347222222222,65.37561206896548,68.07761206896542,66.50654782608696,64.50277391304353,64.33699999999997,63.65125000000002,66.20150000000017,66.03175000000006,68.55914782608689,68.1702956521739,66.78283478260865,68.76019298245619,67.1317739130435,66.87564035087713,65.05601754385967,64.00339655172405,63.59614655172411,65.21935042735039,66.16346153846145,65.94066371681403,66.35153982300886,66.17027956989254,66.73907812499996,66.4738382352942,64.93897938144339,65.2330000000001,65.43798290598296,65.62262931034485,66.74212931034491,66.31307758620706,65.02257758620698,65.15462393162382,66.05089743589738,66.0125000000001,66.95125000000012,66.01325000000003,63.11324999999999,62.991249999999944,63.886249999999954,63.76524999999998,64.74025000000005,65.09000000000017,63.785250000000005,64.9428260869564,69.35379113924041,70.24577519379845,72.01847999999994,73.32999999999996
1250.0,64.05577419354836,64.26458241758247,62.794250000000005,61.74124999999995,61.52850000000006,60.785250000000104,61.00750000000002,59.222250000000095,57.76700000000018,58.44400000000001,61.21274999999993,62.0712307692308,63.49619658119663,65.85585470085476,64.74815384615388,65.28149999999991,67.32224999999984,64.57974999999995,65.96550000000013,65.43650000000008,63.275250000000014,64.21175000000005,61.089500000000044,63.768176991150405,65.27382142857135,64.49969090909097,57.673126582278535,61.3104444444445,60.99293103448274,63.41493103448278,61.36526086956529,58.941617391304476,59.3825000000001,58.95600000000006,61.94725000000011,61.83250000000015,64.21097391304355,63.88466086956524,62.581173913043415,65.36671929824567,63.797,63.66196491228063,61.62433333333337,60.06355172413795,59.63180172413789,61.69264957264947,62.193085470085286,62.11004424778763,62.80809734513288,62.284989247311835,63.48712500000007,63.87682352941171,62.19039175257724,62.940752136751975,63.606512820512656,63.38293103448269,64.27493103448279,63.10156896551728,61.43756896551724,61.465606837606884,62.699717948718096,62.86125000000018,63.47475000000017,62.34000000000014,58.96074999999993,58.66099999999989,59.814750000000025,60.02775000000006,61.07574999999998,61.43775000000002,59.90175000000005,61.430713043478214,67.09520253164571,68.4090155038762,70.80500000000016,72.26100000000007
1500.0,60.01214516129042,60.62779120879138,59.183250000000214,58.24900000000004,58.19000000000006,57.326000000000086,57.724499999999885,55.38649999999995,53.72250000000013,53.58999999999993,56.33599999999994,57.46775213675207,58.74127350427352,61.837581196581205,60.135752136752046,60.849249999999934,63.17850000000004,60.44775,61.98175000000006,61.47925,59.424249999999944,60.7627500000001,57.20025000000012,59.87030973451329,61.18024999999997,59.228945454545425,54.075772151898754,57.91860185185179,57.64152586206908,59.51577586206913,57.162573913043516,54.30418260869562,55.452749999999945,55.299249999999866,58.516,58.43549999999994,60.341982608695616,60.28120869565214,59.00899130434789,62.466105263157964,61.29042608695654,61.50230701754383,59.43135087719287,57.29898275862063,56.78548275862068,58.77865811965806,58.8183162393161,59.062362831858444,60.15589380530987,59.507193548387136,61.388656249999976,62.774220588235266,60.96419587628872,62.23612820512817,63.016153846153664,62.02424137931027,62.46299137931047,60.24893965517252,58.51168965517243,58.54117948717962,60.209547008547105,60.77575000000012,61.170750000000076,59.8149999999999,56.220999999999954,55.611250000000034,57.024249999999995,57.61625000000005,58.51500000000009,58.94575000000008,57.190999999999974,58.93934782608693,65.0228607594935,66.57151937984473,69.17151999999982,70.47099999999993
1750.0,54.85024193548397,55.626791208791296,54.25849999999999,53.30924999999999,53.37649999999996,52.5035,52.976499999999916,50.68625000000005,49.03999999999997,48.60400000000005,51.249750000000006,52.42711111111111,53.55340170940166,56.808094017093886,54.922598290598245,55.674749999999975,57.93625000000003,55.37824999999994,56.963999999999984,56.56050000000005,54.822750000000035,56.25824999999998,52.78374999999999,55.333451327433686,56.49498809523807,54.28201818181814,50.56470886075951,54.21798148148151,53.926913793103566,55.428163793103444,53.02603478260861,50.114939130434784,51.487500000000054,51.46100000000004,54.47275000000006,54.408499999999876,55.99233043478253,56.04352173913053,54.98161739130433,58.60400877192989,57.629260869565165,57.94128947368414,56.021184210526386,53.776491379310286,53.26749137931019,55.14352136752129,54.87235897435901,55.20453097345128,56.45230088495569,55.833021505376365,57.96996875000006,59.743191176470575,58.00193814432985,59.49776068376072,60.45550427350438,59.254706896551674,59.53845689655168,56.99026724137939,55.22126724137949,55.16294017094024,56.85262393162394,57.47474999999998,57.727000000000096,56.39500000000015,52.86600000000007,52.197000000000116,53.62950000000003,54.35,55.18400000000009,55.59525000000002,53.8114999999999,55.62461739130423,61.804050632911505,63.456162790697825,66.14828000000013,67.35900000000001
2000.0,49.09662903225805,50.12481318681318,48.961249999999914,48.03599999999998,48.38349999999993,47.50899999999988,48.06849999999994,45.99225000000009,44.44324999999997,43.51949999999999,45.81675000000005,46.822008547008586,47.5836923076924,50.901837606837645,48.86415384615378,49.551999999999886,51.47475000000001,49.14725000000011,50.63975000000002,50.379749999999966,49.216000000000136,50.68749999999998,47.30799999999997,49.52003539823015,50.287857142857234,47.75423636363638,44.76573417721512,47.82745370370361,47.46797413793105,48.404224137931116,46.04713043478264,43.29313913043478,44.98849999999999,45.07074999999992,47.64849999999987,47.69349999999992,48.71404347826093,48.999756521739094,48.39277391304362,52.103982456140244,51.46621739130439,51.9242719298245,50.31629824561413,48.0562931034483,47.7155431034483,49.28940170940181,48.580017094017194,48.83815929203545,50.1049203539822,49.43977419354831,51.63687499999996,53.62376470588233,52.04557731958764,53.89607692307693,55.08805128205137,53.85771551724138,53.97571551724131,51.05743965517227,49.32343965517234,49.029752136752094,50.540230769230824,51.135500000000015,51.089999999999996,49.93125000000009,46.749249999999975,46.12700000000006,47.47624999999996,48.24850000000004,48.98749999999998,49.44099999999995,47.85450000000005,49.67278260869556,55.7068037974682,57.35526356589137,59.969399999999986,61.088000000000065
2250.0,43.98479032258069,45.3647472527473,44.51224999999999,43.762249999999995,44.427999999999976,43.5845,44.250749999999925,42.421499999999966,41.020250000000054,39.47775000000003,41.210750000000104,41.986675213675184,42.33244444444434,45.52244444444436,43.37520512820515,44.06175000000005,45.522000000000034,43.814749999999975,45.09499999999997,45.07475,44.67525000000003,46.097500000000075,43.04375000000003,44.68088495575223,44.91595238095236,41.971109090909124,40.653772151898785,42.82400000000001,42.42682758620692,42.4453275862068,40.33176521739134,37.87685217391307,39.95200000000006,40.180000000000035,42.019000000000005,42.162249999999986,42.34169565217391,42.99986956521732,42.93833913043483,46.566587719298184,46.50065217391307,47.287412280701886,46.203728070175394,43.999974137931005,43.81797413793102,44.777880341880376,43.52592307692316,43.77512389380532,45.08961946902653,44.39817204301082,46.63306250000002,49.000500000000024,47.682494845360814,49.88514529914531,51.17130769230765,49.77071551724126,49.603465517241226,46.23622413793105,44.730474137930926,44.24998290598287,45.512102564102676,46.12524999999987,45.75049999999997,44.780250000000045,42.24624999999995,41.70125000000002,42.94725000000004,43.825750000000035,44.39425000000003,44.89325000000001,43.576249999999995,45.27515652173921,50.44418987341759,51.923682170542534,54.18239999999995,54.958000000000055
