Height,2012/10/23 17:58:38,2012/10/23 17:59:38,2012/10/23 18:00:38,2012/10/23 18:01:38,2012/10/23 18:02:38,2012/10/23 18:03:38,2012/10/23 18:04:38,2012/10/23 18:05:38,2012/10/23 18:06:38,2012/10/23 18:07:38,2012/10/23 18:08:38,2012/10/23 18:09:38,2012/10/23 18:10:38,2012/10/23 18:11:38,2012/10/23 18:12:38,2012/10/23 18:13:38,2012/10/23 18:14:38,2012/10/23 18:15:38,2012/10/23 18:16:38,2012/10/23 18:17:38,2012/10/23 18:18:38,2012/10/23 18:19:38,2012/10/23 18:20:38,2012/10/23 18:21:38,2012/10/23 18:22:38,2012/10/23 18:23:38,2012/10/23 21:33:38,2012/10/23 21:34:38,2012/10/23 21:35:38,2012/10/23 21:36:38,2012/10/23 21:37:38,2012/10/23 21:38:38,2012/10/23 21:39:38,2012/10/23 21:40:38,2012/10/23 21:41:38,2012/10/23 21:42:38,2012/10/23 21:43:38,2012/10/23 21:44:38,2012/10/23 21:45:38,2012/10/23 21:46:38,2012/10/23 21:47:38,2012/10/23 21:48:38,2012/10/23 21:49:37,2012/10/23 21:50:38,2012/10/23 21:51:38,2012/10/23 21:52:38,2012/10/23 21:53:38,2012/10/23 21:54:38,2012/10/23 21:55:37,2012/10/23 21:56:38,2012/10/23 21:57:37
5750.0,0.0,2.8084848101265822,2.939069444444447,2.736375000000002,2.806397499999995,0.8937225000000001,0.07002250000000004,0.07002250000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7232500000000015,2.7232500000000015,5.259000000000008,5.668425000000007,2.9451749999999994,5.375774999999997,4.789199999999996,5.292228124999995,7.582894029850738,4.553824358974361,3.319610280373833,4.5804250000000035,5.725000000000007,3.914825000000003,4.241674999999996,1.4714250000000004,0.32685000000000014,1.9287500000000006,4.540149999999998,6.854550427350428,9.43703760683761,10.260588034188023,7.410791379310334,8.447876521739133,8.210379130434792,5.756676521739134,8.10893846153846,4.799716239316235,2.450666666666667,2.450666666666667,1.0569500000000003,1.139317499999999,1.3624827835051536,1.9435416176470572
6000.0,0.0,2.3431632911392417,2.1682333333333337,2.0187,2.0187,0.4229249999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39615,2.39615,4.631274999999998,4.725820000000009,2.329669999999995,4.61152,4.113295000000005,4.855989583333339,6.957835820895531,3.713864102564103,2.7073028037383184,4.010150000000001,4.852950000000005,3.4292999999999974,3.474197500000002,0.8876975000000015,0.044897500000000014,1.3979724999999996,3.999824999999997,6.095099999999991,8.416958974358952,9.163547863247848,6.595793965517241,7.632018260869553,7.424983478260877,5.300569565217394,7.424705128205142,4.333106837606835,2.214743589743589,2.214743589743589,0.7059999999999996,0.7059999999999996,0.844288659793814,1.20435294117647
6250.0,0.0,2.659777215189872,2.535888888888886,2.3609999999999975,2.3609999999999975,0.5496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7582499999999994,2.7582499999999994,5.233274999999997,5.539774999999997,2.7815250000000007,5.170049999999997,4.519225000000005,5.090376041666674,7.293673134328368,3.5056179487179473,2.555497196261681,3.8546999999999976,4.641025000000003,3.438575000000005,3.438575000000005,0.7863250000000003,0.0,1.4071250000000004,4.090124999999995,6.227448717948715,8.492100854700857,9.112899145299153,6.508458620689663,7.586853913043488,7.366680869565216,5.315725217391301,7.579345299145298,4.402729914529915,2.35448717948718,2.35448717948718,0.5259999999999999,0.5259999999999999,0.6290309278350514,0.8972941176470586
6500.0,0.0,2.1385481012658234,1.5643083333333339,1.4564250000000005,1.4564250000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2044,2.2044,4.313849999999995,4.47682249999999,2.2724225000000002,4.390972499999999,3.8365975000000017,4.438963541666668,6.3603059701492555,3.9663461538461537,2.8913551401869158,4.034500000000003,5.021025000000003,3.7417750000000027,3.8986600000000053,1.1434100000000003,0.15688499999999997,1.9204350000000006,4.530049999999996,6.975921367521354,9.383541025641009,9.722122222222216,7.03943362068966,8.1037852173913,7.947613913043475,5.824259130434784,8.324186324786336,4.853605128205126,2.5994871794871792,2.5994871794871792,0.834575,0.8434292499999988,1.008637041237112,1.4387910735294098
6750.0,0.0,1.9962645569620254,1.4602305555555557,1.359525,1.359525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8888749999999992,1.8888749999999992,3.803650000000004,3.873514999999997,1.9846399999999993,4.1840899999999985,3.776840000000001,4.479261458333334,6.418046268656717,5.465850000000005,3.9844514018691624,5.126924999999996,6.531775000000007,4.640599999999998,5.3872499999999865,2.151500000000003,0.7466499999999999,3.054150000000001,5.498249999999998,8.445102564102573,11.379059829059836,11.680213675213661,8.590155172413802,9.713234782608701,9.607826086956521,6.973869565217385,9.935683760683755,5.911376068376066,3.081025641025642,3.081025641025642,1.1702000000000006,1.7379999999999989,2.164151546391751,3.087098529411762
7000.0,0.0,2.331453164556963,1.7054148148148156,1.5878000000000008,1.817624999999999,0.22982499999999997,0.22982499999999997,0.22982499999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9664750000000006,1.9664750000000006,3.956424999999995,4.262699999999994,2.447219999999994,4.835569999999997,4.525695000000003,5.0984658333333375,7.043840298507469,5.515647435897436,4.020752336448599,5.151875,6.630524999999988,4.751899999999999,5.692750000000011,2.419499999999999,0.9408500000000002,3.3449500000000003,5.595349999999997,8.71316752136752,11.770312820512833,11.960324786324788,8.872181034482761,9.833017391304345,9.721808695652173,7.103486956521747,10.059495726495722,6.025273504273501,3.077435897435899,3.077435897435899,0.9761500000000003,1.6361000000000017,2.0618721649484555,2.941200000000003
7250.0,0.0,2.413901265822783,1.765724074074073,1.643949999999999,1.942200000000002,0.29825000000000007,0.29825000000000007,0.29825000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9667749999999988,1.9667749999999988,3.948549999999998,4.252724999999999,2.4748900000000025,4.925840000000009,4.615140000000004,5.209082708333336,7.136640298507466,5.294950000000006,3.8598700934579484,5.009975000000004,6.391224999999999,4.630999999999997,5.5395,2.289749999999998,0.9085,3.2232000000000016,5.408949999999999,8.504770940170944,11.535394871794896,11.750341880341878,8.757387931034472,9.71172173913043,9.592695652173916,7.03918260869565,9.948598290598296,5.943376068376068,3.029743589743588,3.029743589743588,0.7466250000000004,1.3254250000000014,1.63168556701031,2.3275514705882365
7500.0,0.0,3.0372911392405064,2.221722222222222,2.394125000000002,3.270525000000006,1.2020249999999997,1.2020249999999997,0.8764000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4215250000000013,2.4215250000000013,4.913300000000002,5.896325,4.336324999999997,7.333074999999989,7.089049999999999,7.378113541666665,9.080029850746264,7.492269230769236,5.722261214953272,6.843387499999992,9.164287499999986,6.70293999999999,8.312902499999982,4.238152500000004,2.1441749999999997,5.399772500000001,7.5481725000000015,11.592119743589732,15.20182905982905,15.186957264957277,11.319129310344836,12.1787391304348,12.111156521739135,8.774895652173907,12.583615384615397,7.726982905982896,3.9587179487179505,3.9587179487179505,1.7770000000000006,3.359875000000002,4.486211340206187,6.3994485294117665
7750.0,0.0,3.898848101265823,3.4547592592592604,4.199350000000001,5.713199999999993,3.426775000000002,2.865525,2.4428500000000017,0.9290000000000004,0.5601749999999996,0.5601749999999996,0.5312249999999996,0.5312249999999996,0.526684615384615,0.526684615384615,0.0,0.0,2.9162500000000002,2.9162500000000002,5.963499999999999,7.486649999999986,6.123624999999998,9.650374999999991,9.361874999999987,9.471792708333316,10.882358208955214,9.856956410256426,8.064686915887863,9.133875,11.42202499999998,8.883450000000009,10.532399999999996,6.381000000000001,4.397400000000002,7.707725000000009,9.82024999999999,13.920200000000008,17.43747863247864,17.439461538461522,13.017301724137921,13.886965217391294,13.862252173913054,10.26975739130433,14.617026495726451,9.202205982905982,4.850718803418805,4.522820512820514,2.2895499999999993,4.4250750000000005,5.983574226804121,8.53539264705882
8000.0,0.0,4.198025316455696,3.769812037037034,4.790174999999996,6.5677999999999965,4.278025000000002,3.6272000000000024,3.030500000000003,1.252875,0.68365,0.68365,0.69235,0.69235,0.6864324786324787,0.6864324786324787,0.0,0.0,2.9842500000000016,2.9842500000000016,6.215000000000002,7.911850000000014,6.834875,10.582125000000007,10.298874999999994,10.394113541666654,11.59091044776118,11.31225512820514,9.42604766355141,10.481475000000001,12.645200000000012,10.009049999999995,11.743349999999984,7.581775000000005,5.666274999999995,9.043174999999987,11.069424999999987,15.141213675213688,18.646991452991468,18.69408547008546,14.006491379310319,14.930208695652178,14.93525217391304,11.342253043478228,16.019650427350406,10.24964188034189,5.551889743589745,4.871282051282051,2.5905000000000005,5.096749999999995,6.950752577319577,9.915044117647042
