Height,2012/10/28 03:14:39,2012/10/28 03:15:39,2012/10/28 03:16:39,2012/10/28 03:17:39,2012/10/28 03:18:39,2012/10/28 03:19:39,2012/10/28 03:20:39,2012/10/28 03:21:39
600.0,85.29686792452823,85.0705731707317,83.7061171171171,81.0750000000001,81.74049999999986,80.84049999999992,82.2315999999999,83.67843023255803
700.0,85.24660377358487,85.16787804878058,83.67271171171171,80.63524999999997,81.81924999999998,80.82225000000008,82.37885217391313,84.11644186046503
800.0,83.93003773584898,84.10437804878036,82.44239639639639,79.07649999999994,80.64199999999988,79.48374999999996,81.15380869565224,83.06706976744184
900.0,82.73135849056605,83.23448780487821,81.24825225225227,77.35550000000002,79.45950000000003,78.0997500000001,79.96677391304355,82.18587209302345
1000.0,81.41113207547171,82.16756097560983,79.97909009009011,75.72875000000009,78.33900000000004,76.86150000000009,78.83626956521748,81.27101162790707
1250.0,78.88611320754718,80.22750000000003,77.61710810810816,73.06499999999996,76.49749999999993,74.78525000000006,76.93625217391306,79.60534883720942
1500.0,74.35667924528299,76.09926829268278,73.4089909909908,69.19299999999987,73.12975000000004,71.3427500000002,73.33023478260871,75.92143023255811
1750.0,68.36832075471695,70.25709756097552,67.65464864864866,63.818749999999916,67.69224999999979,65.92400000000006,67.74862608695662,70.14538372093021
2000.0,61.44633962264146,63.418219512195066,61.132126126125996,58.13199999999993,61.69950000000007,60.145250000000054,61.76501739130435,63.76636046511623
2250.0,54.222754716981115,56.19660975609757,54.48989189189184,52.837499999999935,55.79975000000006,54.584250000000054,55.792078260869495,57.10452325581389
2500.0,47.97479245283024,49.83369512195134,48.61917117117136,48.10825000000007,50.325999999999965,49.33249999999994,50.22487826086963,50.896558139534974
2750.0,41.2851698113208,43.097963414634194,42.4085045045045,42.500499999999946,44.05100000000007,43.264250000000075,43.90586086956522,44.16209302325586
3000.0,33.80864150943399,35.55230487804881,35.55483783783783,36.636499999999934,37.55399999999997,37.05950000000006,37.24271304347826,36.89731395348836
3250.0,30.84854716981134,32.393841463414624,32.74945945945948,34.19399999999999,34.8095,34.53450000000001,34.501591304347855,33.941686046511634
3500.0,23.312981132075464,24.67634146341459,25.626720720720648,27.84949999999995,27.87249999999999,27.867249999999984,27.46625217391301,26.428406976744167
3750.0,18.392547169811333,19.695939024390245,21.184882882882878,24.099499999999946,23.72499999999996,23.91849999999999,23.164756521739136,21.732546511627937
4000.0,11.567147169811308,12.267339024390244,14.41325045045045,17.76749999999999,16.690499999999982,17.320999999999973,16.19275652173912,14.399058139534889
4250.0,6.225150943396228,6.397046341463422,9.038124324324322,13.13204999999999,11.488325000000014,12.460274999999994,10.976642608695668,8.630556976744186
4500.0,3.873360377358492,2.732288048780492,5.432870450450454,8.678945000000015,6.909220000000008,8.180849999999998,6.480695652173915,3.9717558139534885
4750.0,2.2210169811320757,1.4355353658536587,3.8340351351351316,6.462524999999989,5.447749999999996,5.910174999999992,3.9380339130434696,1.4976616279069774
5000.0,0.6248679245283016,0.40387804878048766,2.3765630630630623,4.39935,4.11385,4.11385,2.1437052173913043,0.0
5250.0,0.0,0.0,1.8443477477477483,3.6879500000000043,3.6879500000000043,3.6879500000000043,1.9398226086956516,0.0
5500.0,0.0,0.0,1.2544198198198198,2.4480999999999966,2.4480999999999966,2.4480999999999966,1.2585999999999997,0.0
5750.0,0.0,0.0,0.9232711711711716,1.836275000000003,1.836275000000003,1.836275000000003,0.9610852173913044,0.0
6000.0,0.0,0.0,0.6473270270270268,1.3941250000000003,1.3941250000000003,1.3941250000000003,0.78143652173913,0.0
6250.0,0.0,0.0,0.7213684684684684,1.6019250000000014,1.6019250000000014,1.6019250000000014,0.9195773913043485,0.0
6500.0,0.0,0.0,0.6253288288288292,1.4042500000000007,1.4042500000000007,1.4042500000000007,0.8128826086956524,0.0
6750.0,0.0,0.0,0.8846306306306304,1.6125499999999997,1.6125499999999997,1.6125499999999997,0.7727113043478261,0.0
7000.0,0.0,0.0,1.1349972972972975,2.0333499999999978,2.0333499999999978,2.0333499999999978,0.9555121739130438,0.0
7250.0,0.0,0.0,1.239083783783784,2.217074999999998,2.217074999999998,2.217074999999998,1.0403686956521745,0.0
7500.0,0.0,0.0,1.986552252252253,3.6387,3.6387,3.6387,1.7528860869565213,0.0
7750.0,0.9865471698113203,0.6376463414634144,3.0470900900900926,5.114699999999999,4.663949999999999,4.663949999999999,2.2180713043478244,0.0
8000.0,1.6204981132075473,1.0473951219512196,3.6656522522522534,5.931200000000007,5.190800000000006,5.190800000000006,2.4446243478260867,0.0
8250.0,2.282190566037737,1.4750743902439032,4.265063963963964,6.737225000000006,5.694500000000005,5.694500000000005,2.8319926956521755,0.20445534883720928
8500.0,2.6641150943396212,1.7219280487804869,4.57204594594594,7.142725000000001,5.925500000000005,5.925500000000005,3.196161739130441,0.5406930232558136
8750.0,2.430801886792452,1.5711280487804873,4.240662162162159,6.577124999999996,5.466499999999998,5.466499999999998,3.0631739130434794,0.6980465116279067
9000.0,2.7401169811320765,1.771051219512196,4.410821621621622,6.751700000000007,5.499750000000006,5.499750000000006,3.2749704347826043,0.9654139534883721
9250.0,4.057209433962262,2.622342682926828,5.415397297297293,8.190474999999994,6.336749999999996,6.553447500000005,4.438470521739129,1.8771873255813956
9500.0,5.46228679245283,3.53050243902439,6.463812612612615,9.578950000000013,7.083250000000008,7.998475,6.155853043478272,3.654047674418606
9750.0,5.5707358490566055,3.600597560975611,6.48293693693694,9.51225,6.967000000000002,8.002675,6.322456521739121,3.991482558139536
10000.0,5.833924528301886,3.7707073170731706,6.498612612612609,9.502249999999997,6.836749999999996,8.035474999999993,6.621623478260877,4.425252325581393
