Height,2012/11/17 00:14:38,2012/11/17 00:15:38,2012/11/17 00:16:38,2012/11/17 00:17:38,2012/11/17 00:18:38,2012/11/17 00:19:38,2012/11/17 00:20:38,2012/11/17 00:21:37,2012/11/17 00:22:38,2012/11/17 00:23:38,2012/11/17 00:24:38,2012/11/17 00:25:38,2012/11/17 00:26:38,2012/11/17 00:27:38,2012/11/17 00:28:37,2012/11/17 00:29:38,2012/11/17 00:30:38,2012/11/17 00:31:38,2012/11/17 00:32:37,2012/11/17 00:33:38,2012/11/17 00:34:38,2012/11/17 00:35:38,2012/11/17 00:36:38,2012/11/17 00:37:38,2012/11/17 00:38:38
600.0,95.59269696969689,92.72758947368426,92.82050000000015,91.20675000000001,88.3662608695649,90.73770434782621,87.25568695652161,83.19820869565213,83.53650000000003,81.97074999999997,83.32299999999985,86.83622222222223,85.64474358974347,85.89756410256422,87.44745299145308,87.26575000000008,86.5647499999997,85.34625000000008,83.75525,85.70975000000007,87.55950000000006,90.42174999999996,91.3997500000002,88.30242201834848,88.64114999999984
700.0,98.72101515151527,95.39333684210527,95.44324999999999,93.25825000000003,90.1486173913046,92.94169565217409,89.19212173913027,84.9871217391307,85.70124999999993,83.71450000000006,85.28999999999981,89.36191452991437,87.64645299145323,87.98404273504269,89.51905982905981,89.07824999999991,88.35099999999993,87.03400000000002,85.44300000000003,87.62924999999996,89.49475000000014,92.92149999999997,93.93275000000015,90.41753211009181,91.04666249999988
800.0,97.42472727272722,93.9979263157894,94.04274999999993,91.40974999999992,88.3502434782609,91.2444434782609,87.5985130434783,83.54380869565206,84.59300000000003,82.33700000000005,83.90650000000002,88.11266666666657,86.19792307692317,86.69216239316252,88.10275213675219,87.64224999999996,86.852,85.49875000000004,84.06449999999997,86.5459999999999,88.43525000000021,92.08599999999983,93.11075,89.13275229357788,89.80111250000004
900.0,94.86160606060608,91.27610526315792,91.39749999999992,88.3042499999999,85.36313043478268,88.41695652173912,84.87366086956519,80.90469565217403,82.37025000000015,79.86624999999978,81.47175000000007,85.86338461538452,83.73870085470084,84.44312820512823,85.65964102564101,85.21100000000014,84.39900000000013,82.96675000000002,81.66649999999996,84.65624999999996,86.62424999999999,90.55250000000007,91.67725000000027,86.97135779816517,87.60151249999987
1000.0,92.68881818181808,88.9655789473684,89.1387500000002,85.80375000000015,83.02028695652193,86.2521478260871,82.8467913043478,78.91943478260869,80.82449999999996,78.15774999999985,79.77824999999989,84.3025042735042,81.8109829059829,82.58555555555553,83.6350085470086,83.1347500000002,82.30925000000019,80.82674999999988,79.72725000000001,82.99825,84.94974999999991,89.06424999999999,90.22099999999992,85.0264311926605,85.76572499999995
1250.0,86.91977272727277,82.81008421052644,82.88925000000013,79.50025000000007,77.13607826086952,80.73888695652171,78.02347826086947,74.0981391304348,77.04824999999997,74.20149999999988,75.583,80.45877777777781,77.02587179487186,77.95882905982907,78.65334188034186,77.59324999999993,77.12374999999983,75.73799999999997,75.26075000000009,79.12599999999999,80.6769999999999,84.63275,86.02450000000016,79.92386238532113,80.9623750000001
1500.0,82.7467424242424,77.98837894736829,77.73324999999983,74.45700000000005,72.33465217391316,76.40549565217394,74.52856521739115,70.79210434782611,74.90850000000003,71.90350000000015,72.96349999999993,78.35064957264953,73.34232478632475,74.27404273504274,74.65847863247876,72.32675000000009,72.69075000000012,71.6695000000001,71.81925000000001,75.7912500000001,76.3645,79.8097499999999,81.43524999999994,75.04194495412835,76.79678749999998
1750.0,73.64100000000002,69.1032631578947,68.81324999999998,65.87824999999988,64.1766608695651,68.09620000000005,66.76951304347833,63.290773913043516,67.4597500000002,64.61825000000013,65.50950000000012,70.6285811965813,65.70824786324789,66.69747008547017,66.75125641025652,64.19199999999996,64.90174999999988,64.01049999999992,64.39524999999992,68.29724999999995,68.50325000000011,71.4090000000002,73.00825000000006,66.84188990825669,68.4607749999999
2000.0,66.30889393939387,62.11094736842094,61.666499999999935,59.36675000000008,58.30330434782623,62.00093043478269,61.56567826086945,58.47906956521721,62.79499999999993,60.197000000000116,60.834500000000006,65.69204273504263,60.83466666666669,61.955008547008525,61.438461538461546,58.248250000000056,59.43424999999998,58.6997499999999,59.62749999999997,63.298000000000066,62.848250000000036,64.99974999999989,66.49174999999988,60.898623853211085,62.480437500000065
2250.0,59.33421212121203,55.67251578947361,54.980749999999894,53.547999999999945,53.17260869565207,56.47533043478252,57.17511304347836,54.86847826086963,59.26825000000003,56.98699999999997,57.215999999999916,61.504239316239214,56.65132478632464,57.87502564102547,56.73188034188019,52.7669999999999,54.50299999999999,54.08725000000002,55.653249999999915,58.70249999999994,57.4125,58.463000000000044,59.77475000000005,55.26458715596335,56.89931250000003
2500.0,52.98562121212124,49.923642105263156,49.025750000000016,48.03125,47.90103478260875,50.794478260869624,52.11410434782619,50.53675652173907,54.61125000000005,52.39549999999998,52.29324999999987,55.89228205128191,51.43867521367513,52.70451282051277,51.35588888888884,47.24049999999999,49.19124999999993,49.11874999999997,50.917749999999906,53.279249999999955,51.592500000000044,51.81525000000016,52.92600000000004,49.518633027522895,51.02686249999998
2750.0,44.31813636363628,42.38669473684204,41.58525000000002,40.64149999999995,41.16506956521739,43.04124347826082,44.93128695652179,44.265800000000034,47.496499999999884,45.700500000000076,45.46549999999993,48.08735042735052,45.297153846153904,46.781854700854744,44.88173504273495,41.23400000000003,43.10925000000007,43.00850000000002,45.00250000000001,47.10049999999999,45.23849999999995,45.006499999999946,45.60224999999996,43.00319266055046,43.731162499999925
